60.51,	35.79,	79.07,	43.62,	46.27,	96.18,	275.79,	84.06,	86.47,	74.17,	99.59,	13.14,	68.28,	46.34,	28.8,	45.48,	114.99,	50.24,	82.41,	56.9,	38.74,	61.07,	58.74,	109.35,	23.44,	58.16,	116.61,	51.99,	13.29,	63.52,	33.07,	54.09,	51.48,	24.12,	54.91,	29.21,	15.05,	28.34,	98.96,	75.71,	22.55,	51.95,	554.9,	163.12,	42.54,	74.51,	?,	76.41,	24.3,	198.24,	23.92,	81.96,	52.34,	38.95,	49.6,	103.44,	40.35,	57.02,	94.87,	29.23,	51.48,	43.54,	108.02,	33.59,	103.46,	46,	26.07,	33.52,	60.8,	61.88,	74.71,	14.79,	33.69,	89.77,	79.12,	27.89,	75.45,	86.73,	60.4,	65.02,	64.87,	71.07,	42.07,	149.43,	34.01,	67.08,	54.28,	34.28,	62.87,	76.59,	83.44,	34.23,	91.83,	180.53,	47.98,	48.76,	39.54,	32.07,	72.71,	88.24,	
59.69,	35.9,	78.55,	43.23,	45.74,	95.12,	273.99,	83.84,	85.15,	71.96,	99.27,	13,	68.13,	45.44,	28.45,	45.12,	114.16,	49.17,	81.18,	57.25,	38.73,	59.76,	58.14,	109.47,	23.19,	57.93,	115.29,	50.83,	13.23,	63.02,	32.46,	53.38,	51.29,	24.17,	54.32,	29.13,	14.85,	28.21,	98.5,	75.64,	22.4,	52.23,	564.14,	160.27,	42.39,	74.57,	?,	76.28,	24.12,	196.71,	23.85,	81.96,	51.33,	38.88,	49.8,	103.19,	40.33,	56.76,	94.43,	29.07,	51.62,	42.63,	107.85,	33.42,	103.64,	46.04,	25.53,	33.21,	60.93,	61.42,	73.91,	15,	33.22,	88.66,	79.26,	27.9,	75.07,	86.3,	59.84,	64.77,	64.5,	70.23,	41.92,	150.29,	33.65,	66.54,	53.87,	34.28,	62.53,	76.62,	83.05,	33.8,	91.57,	179.23,	48.39,	48.86,	38.79,	31.7,	72.58,	87.51,	
59.96,	35.98,	80.4,	43.29,	46.28,	96.74,	278.06,	85.45,	86.08,	72.82,	100.44,	13.14,	68.26,	45.83,	28.69,	44.78,	114.92,	49.31,	81.23,	58.05,	39.06,	60.72,	59.01,	110.16,	23.78,	58.16,	116.19,	51.82,	13.25,	63.7,	32.58,	54.05,	52.07,	24.24,	54.73,	29.23,	15.02,	28.29,	97.79,	76.01,	22.63,	51.03,	540.95,	161.44,	43.07,	74.13,	?,	77.78,	24.53,	197.53,	24.03,	82.66,	52.03,	39.21,	50.09,	103.73,	40.54,	57.46,	94.73,	29.59,	52.19,	43.53,	108.71,	33.62,	102.85,	45.9,	25.91,	33.79,	60.98,	62.18,	74.19,	14.87,	33.71,	89.35,	79.67,	27.97,	75.96,	86.62,	60.51,	65.12,	64.93,	71.7,	41.95,	152.5,	33.51,	67.34,	54.31,	34.57,	63.09,	76.11,	83.66,	34.01,	92.51,	180.63,	48.05,	49.06,	39.22,	32.02,	72.66,	88.41,	
59.92,	36.58,	80.87,	43.6,	46.52,	99.1,	281.76,	86.04,	86.03,	73.94,	101.47,	13.2,	68.4,	46.15,	29.08,	45.17,	115.17,	49.96,	81.84,	58.11,	39.37,	60.82,	59.16,	110.54,	23.89,	58.79,	116.48,	52.13,	13.32,	64.49,	33.04,	54.34,	52.56,	24.4,	55.48,	29.63,	15.12,	28.16,	98.86,	76.46,	23.17,	51.94,	530.6,	161.48,	43.52,	75.15,	?,	78.89,	24.8,	199.31,	24.38,	83.36,	52.28,	39.45,	50.08,	104.29,	40.63,	58.08,	95.7,	29.74,	51.62,	44.02,	109.74,	33.96,	103.64,	45.85,	26.02,	33.77,	61.18,	63.1,	74.74,	15.66,	33.84,	89.18,	79.69,	28.2,	76.04,	86.79,	60.81,	65.4,	65.98,	72.74,	42.17,	151.42,	33.89,	67.63,	55.2,	34.9,	64.37,	77.08,	84.52,	34.12,	93.67,	182.28,	48.84,	49.57,	39.45,	31.64,	73.42,	88.82,	
58.71,	35.31,	79.8,	42.54,	45.92,	96.84,	278.16,	85.5,	85.3,	73.2,	99.68,	13.12,	67.23,	45.3,	28.96,	44.4,	113.84,	49.48,	81.55,	56.46,	39.19,	60.54,	58.79,	108.67,	23.76,	57.99,	115.5,	51.6,	13.25,	63.55,	32.54,	53.19,	52.23,	24.27,	54.58,	29.18,	14.8,	27.84,	99.91,	75.15,	22.83,	50.6,	532.52,	158.93,	42.51,	73.93,	?,	77.75,	24.79,	196.46,	23.93,	81.92,	51.74,	38.95,	49.15,	102.45,	40.21,	58.27,	94.8,	28.8,	50.77,	43.84,	108.38,	33.06,	103.9,	45.69,	25.81,	33.39,	60.79,	62.64,	73.21,	15.96,	33.53,	88.53,	78.07,	27.91,	74.66,	84.55,	60.36,	64.28,	65.3,	72,	41.06,	147.09,	33.03,	66.4,	54.23,	34.5,	63.96,	75.96,	83.49,	33.97,	91.73,	180.91,	47.42,	48.91,	39.27,	31.04,	72.19,	87.92,	
57.85,	34.3,	77.55,	41.03,	45.45,	94.01,	273.44,	83.88,	82.18,	71.91,	97.14,	12.82,	65.72,	44.34,	28.3,	42.98,	111.41,	47.85,	80.53,	54.38,	37.92,	60.35,	57.43,	106.07,	23.53,	55.92,	113.05,	50.75,	13.21,	61.22,	31.68,	51.8,	50.74,	24.15,	52.62,	28.44,	14.32,	26.44,	95.11,	73.92,	22.31,	49.35,	536.44,	152.88,	41.27,	71.92,	?,	75.79,	24.1,	191.99,	23.15,	79.75,	50.71,	37.71,	47.27,	100.64,	39.02,	56.92,	92.86,	27.64,	49.93,	43.74,	105.67,	32.26,	101.5,	44.47,	24.86,	32.33,	59.83,	60.51,	71.3,	15.71,	32.67,	85.81,	76.16,	27.47,	72.39,	81.15,	59.39,	63.52,	64.13,	70.76,	40.03,	139.91,	32.18,	66.19,	52.79,	33.46,	62.53,	74.75,	82.06,	33.84,	89.95,	176.78,	46.39,	47.07,	38.72,	30.22,	70.8,	86.04,	
57.39,	34.7,	77.43,	41.59,	46.09,	95.96,	273.36,	83.99,	82.51,	72.3,	97.47,	12.62,	67.52,	44.29,	27.79,	44.09,	112.38,	46.82,	80.45,	55.3,	38.76,	60.1,	57.51,	107.15,	23.57,	56.49,	113.99,	51.06,	13.19,	61.97,	31.14,	52.51,	51.13,	23.75,	52.99,	28.82,	14.49,	26.86,	95.86,	73.89,	22.42,	48.83,	556.54,	151.74,	41.26,	71.87,	?,	76.35,	23.54,	190.16,	23.16,	80.31,	50.2,	38.32,	47.75,	100.66,	38.76,	56.97,	93.28,	28.13,	51.2,	43.67,	106.46,	32.81,	101.25,	45.13,	24.63,	32.12,	59.63,	60.21,	70.73,	15.39,	29.65,	86.76,	77.33,	27.3,	74.49,	81.93,	59.15,	63.52,	63.61,	71.44,	40.61,	141.72,	32.3,	66.35,	53.25,	33.77,	62.63,	74.51,	82.56,	34.34,	89.78,	177.81,	46.92,	47.43,	39.56,	30.73,	71.26,	86.45,	
55.87,	34.1,	77.2,	41.39,	45.48,	93.87,	270.61,	81.16,	82.04,	71.01,	95.39,	12.23,	67.04,	43.76,	27.21,	43.84,	110.71,	45.39,	78.9,	54.65,	38.77,	58.74,	56.54,	108.12,	23.16,	55.78,	111.97,	50.81,	13.18,	61.68,	30.87,	51.13,	50.82,	23.16,	52.25,	29.12,	14.17,	25.58,	95.3,	74.16,	22.01,	48.93,	536.1,	148.32,	40.44,	71.57,	?,	74.79,	22.84,	188.29,	22.57,	81.67,	49.2,	38.1,	46.94,	99.48,	38.66,	55.91,	93.34,	27.93,	50.31,	42.63,	104.43,	32.53,	99.79,	44.57,	24.12,	32.55,	59.02,	59.19,	68.37,	15.13,	29.68,	85.51,	77.33,	26.58,	73.67,	81.36,	58.38,	62.94,	62.94,	69.88,	40.46,	140.27,	32.29,	65.83,	52.75,	33.03,	63.36,	72.87,	82.43,	34.16,	89.11,	176.59,	46.54,	46.79,	38.44,	30.12,	71.93,	85.49,	
55.88,	34.24,	77.68,	41.71,	45.75,	94.1,	272.09,	81.62,	84.13,	72.22,	96.19,	12.6,	67.07,	44.5,	27.61,	43.56,	112.07,	46.95,	79.69,	54.72,	39.15,	59.85,	57,	108.73,	23.11,	55.56,	112.57,	51.03,	13.27,	61.81,	31.02,	52.15,	51.64,	23.09,	53.05,	29.56,	14.46,	26,	96.58,	74.11,	22.18,	49.78,	528.62,	150.57,	40.63,	72.18,	?,	75.77,	23.25,	189.69,	22.86,	82.39,	50.32,	38.28,	47.09,	99.32,	38.72,	56.11,	93.56,	27.91,	50.56,	43.45,	105.14,	32.81,	99.49,	44.39,	24.74,	32.5,	59.45,	59.73,	70.35,	14.93,	29.47,	85.55,	77.25,	26.84,	73.78,	81.83,	60.26,	62.76,	63.66,	70.71,	41.05,	141.94,	32.82,	66.64,	53.12,	33.84,	62.46,	74.87,	82.86,	34.69,	89.39,	178.77,	47.79,	44.03,	38.92,	30.36,	72.1,	86.09,	
55.25,	34.72,	77.59,	42.36,	46.61,	97.25,	277.57,	82.14,	85.38,	72.88,	98.22,	12.69,	67.3,	44.73,	27.67,	44.81,	112.91,	47.56,	79.47,	55.48,	39.17,	60.3,	57.48,	109.64,	23.48,	56.29,	113.25,	51.65,	13.3,	62.44,	31.04,	52.07,	51.33,	23.32,	53.52,	29.82,	14.77,	25.61,	97.75,	75.53,	22.31,	51.31,	534.81,	149.19,	40.95,	73.67,	?,	77.82,	23.4,	189.57,	22.98,	83.97,	50.73,	38.87,	47.63,	101.34,	39.72,	56.65,	94.83,	28.13,	50.72,	44.01,	106.54,	33.13,	98.94,	44.83,	24.6,	33.16,	60.89,	60.27,	71.17,	14.67,	29.65,	86.11,	78.46,	26.95,	74.46,	82.82,	59.73,	63.35,	64.7,	70.44,	41.49,	143.25,	33.1,	66.63,	53.79,	33.78,	63.49,	76.27,	83.54,	34.91,	90.56,	180.93,	48,	43.83,	39.62,	31.08,	72.72,	86.76,	
