@relation COMBINED_TRAINING

@attribute Day numeric
@attribute AAPL numeric
@attribute ABBV numeric
@attribute ABT numeric
@attribute ACN numeric
@attribute AIG numeric
@attribute ALL numeric
@attribute AMGN numeric
@attribute AMZN numeric
@attribute APA numeric
@attribute APC numeric
@attribute AXP numeric
@attribute BA numeric
@attribute BAC numeric
@attribute BAX numeric
@attribute BK numeric
@attribute BMY numeric
@attribute BRK-B numeric
@attribute C numeric
@attribute CAT numeric
@attribute CL numeric
@attribute CMCSA numeric
@attribute COF numeric
@attribute COP numeric
@attribute COST numeric
@attribute CSCO numeric
@attribute CVS numeric
@attribute CVX numeric
@attribute DD numeric
@attribute DIS numeric
@attribute DOW numeric
@attribute DVN numeric
@attribute EBAY numeric
@attribute EMC numeric
@attribute EMR numeric
@attribute EXC numeric
@attribute F numeric
@attribute FB numeric
@attribute FCX numeric
@attribute FDX numeric
@attribute FOXA numeric
@attribute GD numeric
@attribute GE numeric
@attribute GILD numeric
@attribute GM numeric
@attribute GOOGL numeric
@attribute GS numeric
@attribute HAL numeric
@attribute HD numeric
@attribute HON numeric
@attribute HPQ numeric
@attribute IBM numeric
@attribute INTC numeric
@attribute JNJ numeric
@attribute JPM numeric
@attribute KO numeric
@attribute LLY numeric
@attribute LMT numeric
@attribute LOW numeric
@attribute MA numeric
@attribute MCD numeric
@attribute MDLZ numeric
@attribute MDT numeric
@attribute MET numeric
@attribute MMM numeric
@attribute MO numeric
@attribute MON numeric
@attribute MRK numeric
@attribute MS numeric
@attribute MSFT numeric
@attribute NKE numeric
@attribute NOV numeric
@attribute NSC numeric
@attribute ORCL numeric
@attribute OXY numeric
@attribute PEP numeric
@attribute PFE numeric
@attribute PG numeric
@attribute PM numeric
@attribute QCOM numeric
@attribute RTN numeric
@attribute SBUX numeric
@attribute SLB numeric
@attribute SO numeric
@attribute SPG numeric
@attribute T numeric
@attribute TGT numeric
@attribute TWX numeric
@attribute TXN numeric
@attribute UNH numeric
@attribute UNP numeric
@attribute UPS numeric
@attribute USB numeric
@attribute UTX numeric
@attribute V numeric
@attribute VZ numeric
@attribute WAG numeric
@attribute WFC numeric
@attribute WMT numeric
@attribute BIIB numeric

@data
128,63.39,42.4,35.28,78.1,43.59,47.99,101.64,260.16,80.46,85.93,69.24,92.23,12.83,68.03,27.53,38.5,110.66,48.55,87.06,58.49,41.87,57.93,59.01,107.33,20.05,56.42,117.56,53.01,65.86,33.33,57.15,55.17,22.36,55.45,33.56,13.72,27.04,29.77,99.65,29.08,72.97,21.69,52.79,30.84,436.18,145.66,42.88,73.5,75.5,20.53,197.72,23.32,81.58,47.38,40.32,51.74,96.06,40.93,54.85,94.9,29.82,47.67,39.35,106.17,33.73,105.44,43.28,23.14,31.31,62.54,60.06,76.25,33.15,84.52,79.4,27.43,75.24,87.79,62.16,60.97,61.32,75.45,43.55,160.88,34.98,66.63,57,35.76,60.51,74.66,85.29,32.15,91.78,176.58,49.94,46.3,36.6,76,209.28
129,62.87,43.14,35.27,78.48,43.7,47.95,103.74,263.63,82.3,85.4,69.11,91.87,12.94,67.81,27.63,39.04,111.82,48.7,85.78,58.75,41.99,58.29,58.68,108.17,20.31,56.95,117.17,53.08,66.38,32.89,57.92,55.65,22.79,55.69,33.71,13.63,26.68,29.7,99.34,29.07,73.41,21.8,52.88,30.62,440.56,146.21,42.72,73.64,75.47,20.87,198.92,23.45,82.17,47.31,40.35,51.99,96.62,41.23,55.17,95.39,29.87,47.96,39.9,106.71,34.04,106.09,43.72,23.67,31.34,63.54,59.99,76.66,33.46,85.45,79.55,27.54,75.77,87.42,62.67,61.75,62.04,75.03,43.44,161.3,35,66.88,56.85,35.79,61.39,74.97,85.4,32.33,92.25,176.74,50.11,47.18,36.73,76.48,213.22
132,63.11,42.69,35.45,77.94,44.15,47.96,103.91,264.51,82.25,85.75,68.82,92.38,12.9,67.52,28.15,39.47,111.74,48.87,85.24,58.84,42.09,57.6,58.46,108.19,20.48,57.46,116.81,52.54,66.5,32.78,57.91,55.33,22.49,55.56,33.22,13.54,26.82,29.17,98.03,29.1,72.92,21.76,54.47,30.21,439.2,146.73,42.88,74.28,75.58,20.69,196.98,23.05,82.25,47.99,40.38,53.37,96.57,41.25,55.24,95.56,30.07,48.14,40.33,106.73,34.26,104.82,43.93,23.41,31.66,63.43,59.48,76.07,33.23,86.75,79.58,28.17,75.61,88.09,62.84,61.42,61.77,75.24,43.19,161.83,34.67,66.94,56.82,35.3,60.88,74.77,85.11,32.34,91.96,176.92,49.79,47.52,36.9,76.1,222.74
133,61.6,43.46,36.13,78.55,45.57,48.9,105.39,268.33,82,87.69,70.52,93.7,13.25,67.55,29.26,40.7,112.67,50.04,84.74,60.03,42.23,58.37,59.46,109.54,20.48,58.95,118.85,53.23,66.65,33.34,58.19,56.27,22.45,56.69,33.29,13.79,27.07,28.81,99.9,29.25,74.32,21.91,56.25,30.74,443.99,151.52,43.51,74.91,76.84,20.85,197.7,22.82,83.33,48.53,40.7,53.45,97.5,41.92,56.62,96.34,30.41,48.69,41.46,106.82,34.39,105.62,44.39,23.99,32.37,64.67,59.83,77.67,33.12,87.23,80.03,28.2,76.45,88.96,63.33,62.11,62.46,75.07,43.59,161.18,34.88,66.94,57.15,35.28,60.24,76.25,85.46,32.71,92.91,178.3,50.38,48.02,37.44,76.37,229.84
134,59.52,44.12,36.73,78.76,45.08,49.19,104.88,266.56,80.87,87.1,71.77,94.58,13.35,67.61,29.51,42.75,112.77,51.29,84.21,60.62,42.62,58.87,58.86,111.26,20.42,59.22,117.9,53.6,66.84,33.73,57.51,56.65,22.47,56.6,33.47,14.17,26.6,28.98,99.5,29.16,74.29,22.13,56.36,31.49,458.4,152.59,43.44,75.45,77.55,20.32,197.8,23.16,83.97,49.36,41.08,54.26,98.62,42.36,57.08,97.05,30.72,48.78,41.73,107.7,34.76,107.16,44.46,24.58,32.68,64.59,59.96,77.97,33.43,87.13,80.74,28.35,77.62,90.21,63.54,63.19,63,73.91,43.97,162.57,35.16,67.86,57.02,35.57,60.12,76.78,85.65,33.15,93.32,180.05,50.78,48.45,37.96,77.42,227.13
135,60.31,44.29,35.92,78.61,44.42,48.7,102.49,264.12,79.89,86.74,71.23,94.15,13.27,68.85,29.17,41.24,111.54,50.56,84,60.72,41.78,57.93,58.87,109.97,23,58.26,117.66,53.55,65.66,33.5,56.99,55.8,23.49,56.15,33.09,14.14,26.13,29.24,98.17,28.71,73.83,22.16,54.96,31.56,452.39,151.48,43.17,74.36,76.82,20.7,199.14,22.92,83.79,49.25,41.25,53.52,98.57,41.9,56.66,96.26,30.68,48.42,41.27,107.28,34.5,105.64,44.12,24.3,32.9,63.23,58.65,76.97,33.81,87.23,80.26,28.05,77.16,89.41,63.64,63.07,62.49,73.51,43.63,160.7,35.02,67.48,56.64,35.36,60.64,76.3,84.92,33.12,92.69,178.11,50.41,47.55,37.92,76.1,227.99
136,60.13,45.21,35.68,80.2,44.73,48.55,103.14,269.9,80.29,88.93,72.31,96.44,13.34,69.9,29.73,41.75,113.02,51.4,84.86,60.39,41.56,59.58,59.7,111.49,23.34,58.33,118.3,53.93,65.77,34.19,57.54,56.71,23.66,57.44,33.43,14.57,26.25,29.82,99.27,29.02,75.92,22.34,56.3,32.57,455.05,155.11,44.55,74.46,78.79,20.61,202.78,23.01,84.4,50.53,41.13,53.48,100.86,41.81,58.12,96.66,30.72,48.62,41.96,107.59,34.74,106.34,43.76,24.9,33.66,64.09,60.26,77.85,34.46,88.96,80.31,27.77,76.98,89.63,64.58,64.27,63.06,73.97,43.91,162.78,35.08,68.5,56.63,35.53,61.32,77.69,85.75,33.47,94.81,182.83,50.55,48.31,38.52,75.49,226.85
139,61.47,44.34,36.87,80.48,44.4,48.35,99.77,267.63,83.04,90.12,73.37,96.24,13.42,69.9,29.7,42.19,113,51.55,85.5,59.91,40.47,60.54,60.38,110.47,23.06,57.88,119.6,53.97,65.31,33.99,58.59,55.95,23.59,57.38,33.28,14.54,25.76,30.01,100.39,28.88,76.22,22.44,55.74,32.84,454.72,155.82,44.84,74.36,78.58,20.53,201.97,23.05,84.32,50.52,40.57,52.64,101,41.53,57.97,96.66,30.04,48.66,41.98,107.91,34.65,106.27,43.02,24.78,33.86,64.1,61.71,77.87,34.33,89.78,79.15,27.53,76.09,88.99,64.08,64.16,62.76,75.61,43.72,161.97,34.87,68.11,56.04,35.39,61.05,77.56,85.6,33.91,94.7,179.9,49.97,48.45,38.83,75.04,225.18
140,61.02,44.6,36.78,80.84,44.47,47.65,101.78,268.86,83.31,90.26,74.07,96.27,13.35,69.99,29.39,42.48,112.7,51.61,85.27,59.94,41.16,60.83,60.64,111.91,23.11,58.4,120.71,54.4,65.03,34.15,58.89,54.95,23.53,56.88,33.3,14.44,25.66,29.18,101.37,29.01,75.62,22.53,56.47,32.55,453.94,157.61,44.13,76.25,78.21,20.46,202.99,23.12,84.88,51.23,40.53,52.75,101.41,41.6,58.12,97.23,30.24,51.06,41.51,108.19,34.26,104.58,45.04,24.83,33.64,64,61.93,77.6,34.53,89.17,79.19,27.6,75.81,88.43,63.76,64.14,63.18,75.28,43.76,163.12,34.61,68.69,56.41,35.36,61.35,76.99,85.82,34.07,95.01,179.84,49.34,48.8,39.29,75.03,231.33
141,61.25,44.82,36.78,80.47,43.82,47.37,102.06,262.96,82.34,88.12,73.41,95.47,13.22,69.28,29.09,44.74,111.85,50.95,84.89,59.77,40.72,60.27,59.77,111.81,22.47,57.6,119.74,53.62,64.77,33.52,57.9,54.4,23.12,56.01,32.91,14.46,25.16,28.89,98.87,29.02,75.08,22.72,55.93,32.38,445.16,156.25,43.34,77.2,77.66,20.57,201.37,23.04,84.75,51.82,40.44,52.54,100.93,42.11,57.31,96.85,30.98,50.26,40.97,107.62,34.24,102.08,44.45,24.42,33.41,63.24,60.83,75.52,33.56,87.3,79.52,28.1,75.83,88.03,63.24,63.64,63.08,73.82,43.12,159.33,34.31,65.94,55.93,34.79,60.77,76.56,85.2,34.14,93.74,178.44,48.77,48.83,38.73,74.68,233.07
142,61.36,44.65,36.55,80.47,44.04,47.34,103.13,261.8,80.84,88.55,73.66,97.24,13.13,69.14,28.95,45.32,111.29,50.48,84.16,59.35,40.76,59.98,59.82,111.63,22.63,57.24,120.19,53.41,64.43,33.5,57.05,54.48,23.1,55.29,33.02,14.31,25.06,28.23,98.33,28.72,74.61,22.53,55.48,32.01,441.84,154.36,42.84,76.45,77.32,24.09,200.57,23.02,84.18,51.55,40.13,52.37,100.75,41.83,56.62,96.18,30.46,50.2,41.19,107.25,34.2,103.01,45.04,23.97,32.97,62.14,60.59,75.15,33.67,86.75,78.7,27.92,75.71,88.35,61.96,64.13,62.46,73.62,42.89,157.11,34.42,66.2,56.12,34.77,60.85,75.83,84.4,34,93,176.42,49.16,49.08,38.64,74,232.62
143,61.78,43.55,36.82,80.18,44.2,47.31,103.41,261.74,80.65,88.25,74.23,97.49,13.16,68.53,28.83,45.7,110.83,50.47,83.44,59.54,40.89,59.87,59.57,112.81,22.65,58.09,120.24,53.41,64.69,33.48,56.61,54.64,23.09,55.09,32.95,14.29,24.31,27.74,97.06,28.91,75,22.4,55.81,32.03,437.1,155.64,42.35,76.53,77.37,23.46,200.14,22.9,83.81,51.85,40.43,51.8,101.47,41.78,56.79,95.47,30.18,50.07,40.76,107.12,34.42,102.86,44.87,24.07,33.08,61.61,61.54,75.33,33.49,86.99,79.14,27.85,78.77,88.17,62.3,64.11,62.3,72.92,42.59,157.91,34.43,67.21,55.3,34.77,60.56,76.19,83.94,34.18,92.57,178.75,48.69,49.44,38.87,74.95,235.24
147,61.27,43.5,37.6,81.03,44.67,47.4,103.69,267.29,81.37,90.35,75.11,97.6,13.26,69.29,29.39,45.97,112.28,51.74,83.42,59.99,40.76,60.54,59.87,113.24,23,59.08,121.18,53.93,65.88,33.44,56.99,55.53,23.3,55.79,30.47,14.76,24.1,28.19,95.78,29.04,75.51,22.47,56.18,33.09,441.08,158.08,42.7,77.33,77.84,23.89,202.14,23.05,84.57,52.76,40.73,52.18,102.13,42,57.22,96.38,30.5,50.7,41.92,108.4,34.4,103.56,45.31,24.45,33.81,62.09,62.87,75.3,33.97,88.78,79,27.82,77.79,87.46,62.12,65.09,63.19,73.64,42.3,158.79,33.9,67.01,56.24,34.98,61.81,76.64,83.86,34.31,93.47,178.34,48.15,48.91,39.14,74.96,240.86
148,61.75,42.06,36.78,80.89,45.02,47.38,101.93,265.53,83.25,89.4,74.78,96.6,13.39,68.36,29.39,45.04,113.03,52.23,83.71,57.99,39.76,60.33,59.81,111.39,23.22,58.13,120.28,54.06,65.45,33.35,57.42,55.05,23.1,55.41,30.1,15.1,23.32,28.34,95.8,28.66,75.18,22.51,55.63,33.18,434.59,160.22,42.89,77.01,76.89,24.46,202.28,23.23,82.68,52.82,39.63,51.42,101.71,42.23,56.95,94.29,29.53,50.5,42.59,107.95,33.81,103.44,44.6,24.69,33.67,61.74,62.94,74.61,33.84,90.6,77.74,27.12,75.9,86.42,62.16,64.47,62.57,73.23,41.71,155.55,33.65,66.92,55.49,34.87,61.82,76.19,83.46,34.1,92.64,176.46,46.97,48.24,39.36,73.9,238.99
149,62.67,42.7,36.75,80.79,45.7,47.65,102.74,266.83,83.7,89.01,75.09,98.01,13.74,69,29.84,45.34,114.84,53.22,83.64,58.04,39.91,61.15,59.34,110.33,23.46,57.69,119.92,54.33,63.86,33.21,57.15,55.1,24.34,55.94,29.96,15.36,24.55,29.07,95.77,28.32,75.98,22.47,55.8,33.76,435.82,161.67,41.97,76.96,77.51,24.48,203.68,23.17,83.01,53.74,39.02,51.74,102.54,41.8,57.26,93.13,28.87,50.72,42.99,108.23,33.8,102.99,44.79,25.52,33.81,61.44,62.44,75.46,33.78,90.79,77.84,27.09,76.09,86.58,62.22,64.69,62.41,73.06,41.58,153.86,33.26,67.31,55.84,35.24,63.1,76.7,83.48,34.3,93.46,179.33,46.5,47.73,39.84,73.32,238.89
150,62.42,40.91,35.76,80.07,43.97,47.08,98.16,269.2,81.11,86.4,74.66,96.53,13.57,67.4,29.36,44.36,114.07,51.94,83.05,56.3,39.15,59.68,58.44,108.11,23.22,56.5,117.65,53.84,62.31,32.89,55.64,54.1,24.17,55.6,29.81,15.15,24.35,28.34,95.59,28.05,74.76,22.2,54.48,33.02,436.05,159.44,41.2,76.21,76.56,23.67,202.38,23.24,81.26,52.75,38.28,50.86,101.39,41.26,56.67,92.65,28.75,49.76,42.86,107.12,33.5,98.75,44.44,25.6,33.69,60.7,61.82,74.31,33.23,88.22,77.41,26.12,73.85,85.16,61.54,64.03,62.08,71.33,41.37,150.64,32.78,67,54.71,34.7,61.11,75.45,83.04,33.84,92.43,176.46,45.93,46.51,39.17,72.55,237.49
153,62.55,41.56,36.24,80.06,44.26,46.33,96.79,266.88,83.52,87.47,75.41,98.21,13.46,67.5,29.51,45.89,114.07,51.91,83.37,57.04,39.43,60.64,59.15,109.35,23.47,57.55,118.94,54.16,63.02,32.77,56.33,53.41,24.15,55.88,30.06,15.35,23.85,28.72,96.94,28.38,75.22,22.51,53.12,33.54,434.25,160.9,41.86,76.61,76.94,24.13,203.28,24.16,81.77,52.65,39.06,50.84,101.02,41.51,57.23,93.98,29,50.78,43.05,107.45,33.83,100.16,46.1,25.36,34.36,62.05,62.21,74.78,33.83,90.33,78.01,26.61,74.71,86.54,61.64,63.64,62.4,71.85,41.55,150.86,32.86,68.49,54.93,34.81,61.28,76.07,83.38,34.05,92.75,178.49,46.1,47.23,39.34,73.38,227.39
154,62.36,41.82,35.89,79.23,43.62,45.56,94.99,265.7,83.3,86.45,75.01,97.11,13.27,66.87,29.21,45.15,113.42,51.18,83.16,57.3,39.88,60,58.76,109.13,23.45,56.42,117.86,53.84,63.57,33.04,56.04,52.59,23.84,55.3,30.04,15.25,23.52,28.15,97.61,28.37,74.87,22.53,52.32,34.07,429.98,159.05,41.46,74.61,75.85,23.86,200.59,24.27,81.18,52.21,39.65,50.23,100.67,40.17,56.47,94.38,28.84,50.16,42.62,106.87,33.6,100.19,47.04,25.18,33.78,61.8,61.47,74.71,33.6,90.32,78.23,26.53,74.43,86.08,62.11,63.75,62.27,71.46,41.41,149.93,33.42,68.94,54.68,35.4,60.85,75.99,83.1,34.04,91.82,178.5,46.27,46.77,39.06,73.62,219.74
155,61.78,41.25,35.4,77.61,43.42,44.76,92.37,267.17,83.69,85.21,73.73,96.02,13.02,66.42,28.34,44.52,111.51,49.98,81.71,56.36,39.17,58.95,58.71,107.66,23.41,56.16,116.52,52.7,62.35,32.13,55.44,51.36,23.72,54.14,29.87,14.73,22.9,27.67,96.33,27.55,74.36,22.2,50.12,33.15,430.28,155.72,41.23,73.12,74.84,23.44,197.24,23.64,80.78,51.24,38.91,49.57,99.25,38.81,55.61,92.51,28.74,49.71,41.68,105.48,33.14,97.05,46.37,24.74,33.57,60.79,60.67,73.39,33.56,89.48,78.37,26.36,73.75,84.75,61.56,62.93,61.3,70.8,41.17,148.36,33.04,67.64,53.33,34.66,60.26,74.02,82.13,33.8,90.59,175.55,45.76,47.36,38.46,72.95,214.1
156,60.85,41.69,35.73,77.58,44.37,45.37,95.19,267.83,84.74,85.84,75.18,97.25,13.13,67.09,28.83,45.32,113.1,50.78,81.3,56.49,39.22,59.52,58.98,109.55,23.63,56.81,115.58,52.87,62.37,32.34,54.65,51.52,24.17,54.49,29.96,14.92,22.97,28.32,96.09,27.8,75.49,22.26,51.35,33.56,432.75,157.08,41.82,75.22,75.78,23.5,198.27,23.6,81.53,51.69,39.04,49.83,100,39.88,56.15,92.76,28.56,50.21,42.39,105.56,33.23,96.86,46.24,25.12,33.75,61.19,61.57,74.53,32.8,89.3,78.81,26.96,73.9,86.18,61.39,63.39,61.97,71.9,41.87,150.75,33.55,67.73,53.88,34.46,60.42,75.39,81.94,34.15,90.33,177.66,47.35,46.98,39.33,73.32,221.19
157,61.32,42.17,36.58,78.89,44.78,46.32,96.48,276.87,83.68,86.91,76.96,99.92,13.3,67.52,29.16,45.8,115.31,51.55,81.93,57.53,40.14,61.05,59.37,109.05,23.58,57.4,116.65,53.5,64.06,32.78,55.64,51.45,24.15,55.76,29.83,15.2,23.29,28.22,99,28.11,76.72,22.72,52.89,34.14,440.31,163.31,42.62,76.66,77.16,24.04,200.75,23.54,81.96,52.44,39.64,50.22,102.86,40.76,56.27,94.29,29.12,50.8,43.69,107.93,33.54,99.74,45.85,26.69,34.43,61.77,61.73,75.11,33.26,89.85,79.63,27.1,74.8,86.27,60.54,64.77,63.95,72.52,41.88,151.38,33.22,67.83,55.08,34.96,61.06,77.16,83.49,34.63,92.04,178.25,47.6,48.12,39.84,74,225.02
160,60.91,42.09,36.56,79.53,45.45,46.16,95.99,281.07,84.55,87.1,77.2,99.67,13.22,67.79,29.46,45.62,115.15,51.88,81.11,57.25,39.64,61.25,59.26,108.79,23.45,57.5,117.6,53.57,63.05,32.76,55.03,53.25,24.29,55.63,29.85,15.18,24.33,28.18,97.89,27.91,76.2,22.64,52.44,33.85,445.56,164.76,42.28,75.68,76.77,23.87,199.46,23.94,82.19,52.52,39.42,50.36,102.2,40.35,56.23,95.49,28.85,50.75,44.21,107.64,33.62,104.25,46.11,26.84,34.24,62.06,61.73,75.66,33.49,89.05,79.96,27.21,75.11,85.84,60.47,64.33,65,71.9,41.84,149.58,33.72,67.36,54.08,35.38,62.14,76.65,83.47,34.36,91.69,180.61,47.88,48.35,39.86,73.44,222.19
161,60.73,41.78,35.92,78.42,44.43,46.11,95.62,274.78,83.35,85.24,75.46,99.19,13.05,67.33,28.81,45.6,113.51,49.9,80.84,57.06,39.14,60.2,58.98,108.5,23.17,57.57,116.41,52.93,63.02,32.45,54.09,52.05,24.08,54.6,29.67,14.98,24.03,27.67,97.28,27.67,75.8,22.45,52.44,33.06,440.35,160.65,41.51,75.56,76.26,23.63,198.44,23.65,81.75,51.68,39.04,49.69,101.52,40.07,55.7,94.24,29.06,50.79,43.12,107.07,33.55,102.54,45.25,25.79,33.63,61.18,60.83,74.24,33.02,88.04,79.65,27.26,75.15,85.46,60.11,63.93,64.33,70.07,41.71,146.82,33.51,67.48,53.32,34.07,62.38,75.55,82.8,34.18,91.24,177.97,47.54,48.24,39.27,72.95,223.03
162,59.98,40.99,35.54,77.73,44.17,45.89,94.1,271.67,83.4,84.92,73.69,98.35,12.99,67.31,28.39,44.9,112.95,49.39,80.54,56.61,38.52,60.12,58,107.89,23.1,57.29,114.99,52.33,62.22,32.25,53.6,50.75,23.75,54.08,28.91,14.85,23.77,28.23,96.73,27.03,75.93,22.38,51.17,32.6,436.43,159.22,41.09,74.38,75.44,24.28,195.74,23.41,80.83,51.38,38.93,49.54,102.56,39.79,55.45,94.25,28.8,50.34,43.11,105.91,33.44,101.51,44.96,25.28,33.79,60.45,61.09,73.4,32.97,87.75,79.24,27.27,74.65,85.86,59.58,64.09,63.37,69.59,41.39,144.51,33.37,66.93,52.64,33.61,62.29,75.3,82.66,34.17,90.27,177.46,47.28,48.05,38.89,72.55,206.55
163,60.51,41.36,35.79,79.07,45.44,46.27,96.18,275.79,84.06,86.47,74.17,99.59,13.14,68.28,28.8,45.48,114.99,50.24,82.41,56.9,38.74,61.07,58.74,109.35,23.44,58.16,116.61,51.99,63.52,33.07,54.09,51.48,24.12,54.91,29.21,15.05,23.73,28.34,98.96,27.68,75.71,22.55,51.95,33.62,438.94,163.12,42.54,74.51,76.41,24.3,198.24,23.92,81.96,52.34,38.95,49.6,103.44,40.35,57.02,94.87,29.23,51.48,43.54,108.02,33.59,103.46,46,26.07,33.52,60.8,61.88,74.71,33.69,89.77,79.12,27.89,75.45,86.73,60.4,65.02,64.87,71.07,42.07,149.43,34.01,67.08,54.28,34.28,62.87,76.59,83.44,34.23,91.83,180.53,47.98,48.76,39.54,72.71,209.58
164,59.69,41.41,35.9,78.55,44.88,45.74,95.12,273.99,83.84,85.15,71.96,99.27,13,68.13,28.45,45.12,114.16,49.17,81.18,57.25,38.73,59.76,58.14,109.47,23.19,57.93,115.29,50.83,63.02,32.46,53.38,51.29,24.17,54.32,29.13,14.85,23.63,28.21,98.5,27.34,75.64,22.4,52.23,33.41,437.96,160.27,42.39,74.57,76.28,24.12,196.71,23.85,81.96,51.33,38.88,49.8,103.19,40.33,56.76,94.43,29.07,51.62,42.63,107.85,33.42,103.64,46.04,25.53,33.21,60.93,61.42,73.91,33.22,88.66,79.26,27.9,75.07,86.3,59.84,64.77,64.5,70.23,41.92,150.29,33.65,66.54,53.87,34.28,62.53,76.62,83.05,33.8,91.57,179.23,48.39,48.86,38.79,72.58,211.99
167,59.96,41.22,35.98,80.4,44.65,46.28,96.74,278.06,85.45,86.08,72.82,100.44,13.14,68.26,28.69,44.78,114.92,49.31,81.23,58.05,39.06,60.72,59.01,110.16,23.78,58.16,116.19,51.82,63.7,32.58,54.05,52.07,24.24,54.73,29.23,15.02,24.02,28.29,97.79,27.33,76.01,22.63,51.03,32.87,443.57,161.44,43.07,74.13,77.78,24.53,197.53,24.03,82.66,52.03,39.21,50.09,103.73,40.54,57.46,94.73,29.59,52.19,43.53,108.71,33.62,102.85,45.9,25.91,33.79,60.98,62.18,74.19,33.71,89.35,79.67,27.97,75.96,86.62,60.51,65.12,64.93,71.7,41.95,152.5,33.51,67.34,54.31,34.57,63.09,76.11,83.66,34.01,92.51,180.63,48.05,49.06,39.22,72.66,207.75
168,59.92,41.73,36.58,80.87,44.64,46.52,99.1,281.76,86.04,86.03,73.94,101.47,13.2,68.4,29.08,45.17,115.17,49.96,81.84,58.11,39.37,60.82,59.16,110.54,23.89,58.79,116.48,52.13,64.49,33.04,54.34,52.56,24.4,55.48,29.63,15.12,24.21,28.16,98.86,27.57,76.46,23.17,51.94,33.14,450.76,161.48,43.52,75.15,78.89,24.8,199.31,24.38,83.36,52.28,39.45,50.08,104.29,40.63,58.08,95.7,29.74,51.62,44.02,109.74,33.96,103.64,45.85,26.02,33.77,61.18,63.1,74.74,33.84,89.18,79.69,28.2,76.04,86.79,60.81,65.4,65.98,72.74,42.17,151.42,33.89,67.63,55.2,34.9,64.37,77.08,84.52,34.12,93.67,182.28,48.84,49.57,39.45,73.42,210.8
169,58.71,41.25,35.31,79.8,44.32,45.92,96.84,278.16,85.5,85.3,73.2,99.68,13.12,67.23,28.96,44.4,113.84,49.48,81.55,56.46,39.19,60.54,58.79,108.67,23.76,57.99,115.5,51.6,63.55,32.54,53.19,52.23,24.27,54.58,29.18,14.8,24.31,27.84,99.91,28.16,75.15,22.83,50.6,32.8,450.79,158.93,42.51,73.93,77.75,24.79,196.46,23.93,81.92,51.74,38.95,49.15,102.45,40.21,58.27,94.8,28.8,50.77,43.84,108.38,33.06,103.9,45.69,25.81,33.39,60.79,62.64,73.21,33.53,88.53,78.07,27.91,74.66,84.55,60.36,64.28,65.3,72,41.06,147.09,33.03,66.4,54.23,34.5,63.96,75.96,83.49,33.97,91.73,180.91,47.42,48.91,39.27,72.19,203.8
170,57.85,39.35,34.3,77.55,43.78,45.45,94.01,273.44,83.88,82.18,71.91,97.14,12.82,65.72,28.3,42.98,111.41,47.85,80.53,54.38,37.92,60.35,57.43,106.07,23.53,55.92,113.05,50.75,61.22,31.68,51.8,50.74,24.15,52.62,28.44,14.32,23.9,26.44,95.11,27.33,73.92,22.31,49.35,31.73,442.81,152.88,41.27,71.92,75.79,24.1,191.99,23.15,79.75,50.71,37.71,47.27,100.64,39.02,56.92,92.86,27.64,49.93,43.74,105.67,32.26,101.5,44.47,24.86,32.33,59.83,60.51,71.3,32.67,85.81,76.16,27.47,72.39,81.15,59.39,63.52,64.13,70.76,40.03,139.91,32.18,66.19,52.79,33.46,62.53,74.75,82.06,33.84,89.95,176.78,46.39,47.07,38.72,70.8,199.58
171,57.39,40.85,34.7,77.43,43.21,46.09,95.96,273.36,83.99,82.51,72.3,97.47,12.62,67.52,27.79,44.09,112.38,46.82,80.45,55.3,38.76,60.1,57.51,107.15,23.57,56.49,113.99,51.06,61.97,31.14,52.51,51.13,23.75,52.99,28.82,14.49,24.53,26.86,95.86,27.45,73.89,22.42,48.83,31.39,440.91,151.74,41.26,71.87,76.35,23.54,190.16,23.16,80.31,50.2,38.32,47.75,100.66,38.76,56.97,93.28,28.13,51.2,43.67,106.46,32.81,101.25,45.13,24.63,32.12,59.63,60.21,70.73,29.65,86.76,77.33,27.3,74.49,81.93,59.15,63.52,63.61,71.44,40.61,141.72,32.3,66.35,53.25,33.77,62.63,74.51,82.56,34.34,89.78,177.81,46.92,47.43,39.56,71.26,199.07
174,55.87,40.15,34.1,77.2,41.86,45.48,93.87,270.61,81.16,82.04,71.01,95.39,12.23,67.04,27.21,43.84,110.71,45.39,78.9,54.65,38.77,58.74,56.54,108.12,23.16,55.78,111.97,50.81,61.68,30.87,51.13,50.82,23.16,52.25,29.12,14.17,23.94,25.58,95.3,27.21,74.16,22.01,48.93,30.62,435.33,148.32,40.44,71.57,74.79,22.84,188.29,22.57,81.67,49.2,38.1,46.94,99.48,38.66,55.91,93.34,27.93,50.31,42.63,104.43,32.53,99.79,44.57,24.12,32.55,59.02,59.19,68.37,29.68,85.51,77.33,26.58,73.67,81.36,58.38,62.94,62.94,69.88,40.46,140.27,32.29,65.83,52.75,33.03,63.36,72.87,82.43,34.16,89.11,176.59,46.54,46.79,38.44,71.93,200.46
